Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető",lat,lon
Ivánc,328,Vas,"46,56,46-16,30,01",2021,hegyi juhar,,46.946111,16.500278
Zsennye,328,Vas,"47,06,32-16,49,27",2020,mezei juhar,Szél Győző,47.108889,16.824167
Lókút,327,Veszprém,"47,12,24-17,50,47",2021,mezei juhar,Tóth Sándor,47.206667,17.846389
Osli,327,Győr-Moson-Sopron,"47,38,59-17,06,28",2024,ezüst juhar,Teket Attila,47.649722,17.107778
Csorna,327,Győr-Moson-Sopron,"47,39,01-17,06,34",2024,ezüst juhar,Teket Attila,47.650278,17.109444
Csorna,327,Győr-Moson-Sopron,"47,39,03-17,06,40",2024,ezüst juhar,Teket Attila,47.650833,17.111111
Gemenc,326,Bács-Kiskun,"46,13,59-18,52,32",2018,zöld juhar,"Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten",46.233056,18.875556
Fót,326,Pest,"47,36,25-19,11,27",2012,zöld juhar,Torma Zoltán,47.606944,19.190833
Hatvan**,325,Heves,"47,43,06-19,41,57",2017,mezei juhar,Király Tamás; alacsonyan elágazó,47.718333,19.699167
Miskolc,325,Borsod-Abaúj-Zemplén,"48,06,06-20,34,54",2022,mezei juhar,"Torma Ágnes, Torma Zoltánné, Torma Zoltán",48.101667,20.581667
Hegyszentmárton,325,Baranya,"45,53,53-18,06,27",2014,mezei juhar,"Tóth Viktória, Erdős László",45.898056,18.1075
Szeged,325,Csongrád,"46,14,48-20,12,15",2021,ezüst juhar,,46.246667,20.204167
Sirok,325,Heves,"47,53,35-20,11,20",2018,mezei juhar,"Torma Zoltán, Torma Zoltánné",47.893056,20.188889
Csesznek,325,Veszprém,"47,18,42-17,52,29",2015,korai juhar,Jandala Attila,47.311667,17.874722
Péterhida,325,Somogy,"45,59,57-17,20,27",2022,mezei juhar,"Lukács Róbert, Elblinger Ferenc, Szél Győző, PGy",45.999167,17.340833
Csorna,324,Győr-Moson-Sopron,"47,39,05-17,06,47",2024,ezüst juhar,Teket Attila,47.651389,17.113056
Rakamaz,324,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,31",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",48.126944,21.458611
Miskolc,323,Borsod-Abaúj-Zemplén,"48,06,03-20,34,59",2022,hegyi juhar,Szanyi János,48.100833,20.583056
Bokod,323,Komárom-Esztergom,"47,28,03-18,16,08",2014,mezei juhar,"Szél Győző, Daniló Eszter",47.4675,18.268889
Iregszemcse,322,Tolna,"46,41,29-18,11,33",2018,korai juhar,"Szél Győző, Torma Zoltánné, Torma Zoltán",46.691389,18.1925
Rakamaz,322,Szabolcs-Szatmár-Bereg,"48,07,35-21,27,31",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",48.126389,21.458611
Lad,322,Somogy,"46,08,53-17,39,22",2017,hegyi juhar,"Torma Zoltánné, Torma Zoltán",46.148056,17.656111
Szombathely,322,Vas,"47,12,23-16,40,22",2014,korai juhar,"Szél Győző, Daniló Eszter; Bogáti kastélyparkban",47.206389,16.672778
Rigyác,321,Zala,"46,27,56-16,51,47",2021,juhar,Szakály Zsolt,46.465556,16.863056
Hács/Béndekpuszta,321,Somogy,"46,39,39-17,42,48",2013,mezei juhar,Sólyom Attila; 333/2020,46.660833,17.713333
Budapest,321,Pest,"47,28,35-19,06,25",2014,korai juhar,Szél Győző,47.476389,19.106944
Gönc,321,Borsod-Abaúj-Zemplén,"48,28,17-21,16,32",2013,ezüst juhar,Szél Győző,48.471389,21.275556
Csorna,320,Győr-Moson-Sopron,"47,39,01-17,06,33",2024,ezüst juhar,Teket Attila,47.650278,17.109167
Pusztakovácsi,320,Somogy,"46,32,38-17,34,17",2016,mezei juhar,Sólyom Attila,46.543889,17.571389
Iregszemcse,320,Tolna,"46,41,32-18,11,33",2018,korai juhar,"Szél Győző, Torma Zoltánné, Torma Zoltán",46.692222,18.1925
Körmend,320,Vas,"47,00,47-16,36,36",2014,mezei juhar,Szél Győző,47.013056,16.61
Nagycenk,320,Győr-Moson-Sopron,"47,36,28-16,42,19",2018,mezei juhar,Szél Győző,47.607778,16.705278
Mosdós,320,Somogy,"46,21,14-17,59,51",2019,hegyi juhar,Sólyom Attila,46.353889,17.9975
Gávavencsellő,320,Szabolcs-Szatmár-Bereg,"48,10,16-21,33,36",2017,korai juhar,,48.171111,21.56
Kisgyőr,320,Borsod-Abaúj-Zemplén,"48,02,05-20,36,24",2019,mezei juhar,"Torma Zoltánné, Torma Zoltán",48.034722,20.606667
Csesznek,319,Veszprém,"47,18,45-17,52,23",2015,mezei juhar,Jandala Attila,47.3125,17.873056
Herend,318,Veszprém,"47,09,06-17,46,17",2023,mezei juhar,Teket Attila,47.151667,17.771389
Révfülöp,318,Veszprém,"46,49,35-17,37,57",2020,ezüst juhar,Teket Attila,46.826389,17.6325
Tengelic/Középhídvég,318,Tolna,"46,31,11-18,38,07",2013,korai juhar,"Elblinger Ferenc, Torma Zoltán, Torma Zoltánné",46.519722,18.635278
Böhönye,317,Somogy,"46,24,24-17,23,27",2020,mezei juhar,Schmidt András,46.406667,17.390833
Iharos,317,Somogy,"46,20,28-17,06,10",2016,hegyi juhar,"Torma Zoltán, Torma Zoltánné; kidőlt 2017-2018 között (Nagy Dániel)",46.341111,17.102778
Szeged,317,Csongrád,"46,14,50-20,12,12",2021,ezüst juhar,,46.247222,20.203333
Lad,317,Somogy,"46,08,55-17,39,10",2017,mezei juhar,"Torma Zoltánné, Torma Zoltán",46.148611,17.652778
Kéthely,316,Somogy,"46,37,56-17,25,05",2018,zöld juhar,Szél Győző,46.632222,17.418056
Somogyfajsz,316,Somogy,"46,28,48-17,34,02",2016,mezei juhar,"Süle László, Sólyom Attila",46.48,17.567222
Gyugy**,315,Somogy,"46,41,45-17,41,37",2020,mezei juhar,Sólyom Attila,46.695833,17.693611
Gamás,315,Somogy,"46,37,14-17,47,06",2014,mezei juhar,Sólyom Attila,46.620556,17.785
Pilisszentkereszt,314,Pest,"47,42,16-18,52,35",2023,mezei juhar,"Torma Zoltánné, Torma Zoltán, Szőcs Gergely",47.704444,18.876389
Böhönye,314,Somogy,"46,24,24-17,23,26",2020,mezei juhar,Schmidt András,46.406667,17.390556
Tápióság,314,Pest,"47,22,32-19,37,55",2019,zöld juhar,Lesti Szabolcs,47.375556,19.631944
Bükkszentkereszt,314,Borsod-Abaúj-Zemplén,"48,02,36-20,37,18",2016,korai juhar,,48.043333,20.621667
Csorna,314,Győr-Moson-Sopron,"47,39,20-17,07,33",2024,ezüst juhar,Teket Attila,47.655556,17.125833
Bóly,313,Baranya,"45,58,08-18,30,43",2014,ezüstjuhar,"Torma Zoltánné, Torma Zoltán; 2021: nincs meg",45.968889,18.511944
Rakamaz,313,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,27",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",48.126944,21.4575
Hollád,313,Somogy,"46,37,59-17,19,08",2017,mezei juhar,Sólyom Attila,46.633056,17.318889
Ötvöskónyi,313,Somogy,"46,17,07-17,21,35",2023,zöld juhar,"Torma Zoltánné, Torma Zoltán",46.285278,17.359722
Füzér,313,Borsod-Abaúj-Zemplén,"48,35,04-21,26,14",2019,hegyi juhar,"Torma Zoltánné, Torma Zoltán; magasság: 33 m/2019",48.584444,21.437222
Somogybükkösd,312,Somogy,"46,18,02-16,59,16",2017,mezei juhar,"Torma Zoltánné, Torma Zoltán",46.300556,16.987778
Olaszfalu/Felsőpere,312,Veszprém,"47,15,39-17,56,10",2013,mezei juhar,Jandala Attila,47.260833,17.936111
Bokod,312,Komárom-Esztergom,"47,27,40-18,15,51",2014,mezei juhar,"Szél Győző, Daniló Eszter",47.461111,18.264167
Gönc,312,Borsod-Abaúj-Zemplén,"48,28,35-21,19,35",2020,mezei juhar,,48.476389,21.326389
Felsőtárkány,312,Heves,"48,00,58-20,26,04",2017,korai juhar,,48.016111,20.434444
Osli,312,Győr-Moson-Sopron,"47,38,58-17,06,27",2024,ezüst juhar,Teket Attila,47.649444,17.1075
Kisgyőr,311,Borsod-Abaúj-Zemplén,"48,02,34-20,37,20",2019,hegyi juhar,"Torma Zoltánné, Torma Zoltán",48.042778,20.622222
Váralja,311,Baranya,"46,14,50-18,25,15",2015,mezei juhar,Elblinger Ferenc,46.247222,18.420833
Cserépfalu,311,Borsod-Abaúj-Zemplén,"47,58,04-20,31,43",2016,hegyi juhar,,47.967778,20.528611
Somogytúr**,310,Somogy,"46,41,20-17,44,17",2024,mezei juhar,"Sólyom Attila, Valent Sándor",46.688889,17.738056
Szombathely,310,Vas,"47,13,36-16,37,36",2014,korai juhar,"Szél Győző, Daniló Eszter",47.226667,16.626667
Hollád,310,Somogy,"46,37,42-17,18,44",2017,mezei juhar,Sólyom Attila; magasság: 16 m/2017,46.628333,17.312222
Hatvan,309,Heves,"47,43,07-19,42,04",2017,mezei juhar,Király Tamás,47.718611,19.701111
Osli,309,Győr-Moson-Sopron,"47,38,52-17,06,06",2024,ezüst juhar,Teket Attila,47.647778,17.101667
Szeleste,308,Vas,"47,18,24-16,49,47",2015,hegyi juhar,"Szél Győző, Daniló Eszter",47.306667,16.829722
Sopron,308,Győr-Moson-Sopron,"47,40,57-16,34,59",2018,hegyi juhar,Szél Győző,47.6825,16.583056
Vác,308,Pest,"47,51,23-19,07,57",2017,mezei juhar,"Lesti Szabolcs, Torma Zoltánné, Torma Zoltán; Szendehely-Katalinpusztáról lehet megközelíteni, de a völgynek ez a fele Váchoz tartozik.",47.856389,19.1325
Bokod,308,Komárom-Esztergom,"47,28,02-18,16,06",2014,mezei juhar,"Szél Győző, Daniló Eszter",47.467222,18.268333
Gamás,307,Somogy,"46,38,32-17,47,05",2014,mezei juhar,Sólyom Attila,46.642222,17.784722
Somogytarnóca,307,Somogy,"46,00,31-17,27,19",2015,mezei juhar,,46.008611,17.455278
Úrkút/Zsófiapuszta,307,Veszprém,"47,04,24-17,40,14",2013,mezei juhar,"Sütő Krisztián; magas törzsű, kivételesen szép példány.",47.073333,17.670556
Ivánc,307,Vas,"46,56,48-16,30,05",2021,hegyi juhar,kettős törzs egyik fele,46.946667,16.501389
Rinyabesenyő,307,Somogy,"46,10,01-17,31,09",2019,ezüst juhar,,46.166944,17.519167
Lókút,307,Veszprém,"47,12,27-17,50,40",2021,mezei juhar,Tóth Sándor,47.2075,17.844444
Hárskút,307,Veszprém,"47,11,24-17,45,04",2023,hegyi juhar,Teket Attila,47.19,17.751111
Lókút,306,Veszprém,"47,12,26-17,50,45*",2021,hegyi juhar,Tóth Sándor,47.207222,17.845833
Lókút,306,Veszprém,"47,12,23-17,50,45",2013,mezei juhar,BDT; 322/2021,47.206389,17.845833
Kisbózsva,306,Borsod-Abaúj-Zemplén,"48,28,53-21,28,44",2019,mezei juhar,ZDT,48.481389,21.478889
Szentgál,305,Veszprém,"47,12,17-17,43,00",2015,mezei juhar,Jandala Attila,47.204722,17.716667
Ádánd,305,Somogy,"46,51,27-18,09,37",2020,korai juhar,,46.8575,18.160278
Csesznek,305,Veszprém,"47,18,34-17,52,48",2015,hegyi juhar,Jandala Attila,47.309444,17.88
Bükkszentkereszt,305,Borsod-Abaúj-Zemplén,"48,02,33-20,37,26",2016,korai juhar,,48.0425,20.623889
Cégénydányád,305,Szabolcs-Szatmár-Bereg,"47,55,50-22,32,20",2023,mezei juhar,,47.930556,22.538889
Kétegyháza,305,Békés,"46,32,37-21,11,34",2017,zöld juhar,,46.543611,21.192778
Szentpéterúr,304,Zala,"46,44,08-17,03,14",2024,mezei juhar,,46.735556,17.053889
Merenye,303,Baranya,"46,03,35-17,42,25",2020,mezei juhar,"Lukács Róbert; Hódossy Attila, Torma Zoltánné, Torma Zoltán",46.059722,17.706944
Salgótarján,303,Nógrád,"48,07,56-19,52,40",2012,mezei juhar,Jandala Attila,48.132222,19.877778
Hács/Béndekpuszta,303,Somogy,"46,39,19-17,43,02",2020,mezei juhar,Sólyom Attila,46.655278,17.717222
Dunapataj,303,Bács-Kiskun,"46,39,44-18,58,56",2018,zöld juhar,Szél Győző,46.662222,18.982222
Rakamaz,303,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,26",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",48.126944,21.457222
Pusztaberény/Lengyeltóti,302,Somogy,"46,41,17-17,36,18",2016,korai juhar,Sólyom Attila,46.688056,17.605
Magyarszecsőd,302,Vas,"47,02,27-16,39,01",2018,korai juhar,"Torma Zoltánné, Torma Zoltán",47.040833,16.650278
Celldömölk,302,Vas,"47,15,30-17,08,53",2019,ezüst juhar,Teket Attila,47.258333,17.148056
Szentpéterúr,302,Zala,"46,44,03-17,03,23",2024,mezei juhar,,46.734167,17.056389
Szeged,301,Csongrád,"46,14,46-20,12,23",2021,ezüst juhar,,46.246111,20.206389
Szőlősgyörök,301,Somogy,"46,42,36-17,40,25",2012,korai juhar,Sólyom Attila,46.71,17.673611
Bolhó,300,Somogy,"46,00,55-17,16,57",2012,mezei juhar,Szél Győző,46.015278,17.2825
Álmosd,570,Hajdú-Bihar,"47,24,35-21,58,52",2016,vadgesztenye,"Torma Zoltán, Torma Zoltánné",47.409722,21.981111
Budapest,526,Pest,"47,31,17-19,02,48",2003,vadgesztenye,"533/2010; 2022: nincs benne élet (Takács Márton, DrT)",47.521389,19.046667
Zsennye,477,Vas,"47,06,28-16,49,43",2020,vadgesztenye,Szél Győző; hármas törzsű,47.107778,16.828611
Iharosberény,474,Somogy,"46,21,51-17,06,17",2007,vadgesztenye,478/2012; 494/2015; 493/2016; 499/2018; 503/2020,46.364167,17.104722
Seregélyes,467,Fejér,"47,07,08-18,34,28",2007,vadgesztenye,Alacsonyan kiágazó résszel 527 cm.,47.118889,18.574444
Tuzsér,466,Szabolcs-Szatmár-Bereg,"48,20,51-22,07,07",2023,vadgesztenye,,48.3475,22.118611
Füzérradvány,454,Borsod-Abaúj-Zemplén,"48,29,02-21,31,52",2019,vadgesztenye,Szél Győző; 459/2025,48.483889,21.531111
Szőcsénypuszta,447,Somogy,"46,32,05-17,19,10",2008,sárgavirágú vadgesztenye,"Balogh Béla; 448/2010, 460/2010",46.534722,17.319444
Rácalmás,446,Fejér,"47,01,34-18,54,59",2021,vadgesztenye,Baranyai László,47.026111,18.916389
Gic,440,Veszprém,"47,26,00-17,45,45",2010,vadgesztenye,"Baranyai László, Jandala Attila; 448/2021",47.433333,17.7625
Budapest,429,Pest,"47,31,54-19,03,08",2010,vadgesztenye,Szél Győző,47.531667,19.052222
Somogyvár,426,Somogy,"46,34,44-17,38,53",2013,vadgesztenye,Sólyom Attila,46.578889,17.648056
Martonvásár,426,Fejér,"47,18,58-18,46,53",2012,vadgesztenye,,47.316111,18.781389
Martonvásár,424,Fejér,"47,18,59-18,46,57",2012,vadgesztenye,,47.316389,18.7825
Miskolc,423,Borsod-Abaúj-Zemplén,"48,04,10-20,47,04",2015,vadgesztenye,Szél Győző,48.069444,20.784444
Böhönye,423,Somogy,"46,24,50-17,22,51",2016,vadgesztenye,"Torma Zoltán, Torma Zoltánné",46.413889,17.380833
Csurgó,422,Somogy,"46,15,40-17,05,31",2017,vadgesztenye,"Torma Zoltánné, Torma Zoltán",46.261111,17.091944
Zsennye,422,Vas,"47,06,32-16,49,32",2020,vadgesztenye,Szél Győző,47.108889,16.825556
Füzérradvány,420,Borsod-Abaúj-Zemplén,"48,29,00-21,31,53",2012,vadgesztenye,2017-ben már nincsen meg (Takács Márton),48.483333,21.531389
Győr,419,Győr-Moson-Sopron,"47,41,27-17,38,24",2020,vadgesztenye,"Szél Győző, Teket Attila",47.690833,17.64
Szigliget,418,Veszprém,"46,48,05-17,25,46",2011,vadgesztenye,"Baranyai László, többtörzsű",46.801389,17.429444
Egervár,412,Zala,"46,56,20-16,51,41",2011,vadgesztenye,Takács Márton 2015: kivágták,46.938889,16.861389
Füzérradvány,411,Borsod-Abaúj-Zemplén,"48,29,02-21,31,43",2012,vadgesztenye,2017-ben már nincsen meg (Takács Márton),48.483889,21.528611
Noszvaj,410,Heves,"47,55,55-20,28,21",2022,vadgesztenye,magasság: 18 m/2022,47.931944,20.4725
Csurgó,408,Somogy,"46,15,20-17,05,42",2017,vadgesztenye,"Torma Zoltánné, Torma Zoltán",46.255556,17.095
Fehérvárcsurgó,408,Fejér,"47,17,09-18,15,56",2010,vadgesztenye,Baranyai László,47.285833,18.265556
Mosdós,403,Somogy,"46,21,21-17,59,42",2019,vadgesztenye,Sólyom Attila; magasság: 27 m/2019,46.355833,17.995
Zsennye,402,Vas,"47,06,32-16,49,34",2020,vadgesztenye,,47.108889,16.826111
Tiszadob,402,Szabolcs-Szatmár-Bereg,"48,01,33-21,11,47",2023,vadgesztenye,"Szokolovszki Géza, Harsányiné Szakács Renáta, Szakács Béla, Szakács Béláné",48.025833,21.196389
Nádasdladány,402,Fejér,"47,08,06-18,14,33",2025,vadgesztenye,,47.135,18.2425
Somogyvár,401,Somogy,"46,34,19-17,36,34",2021,vadgesztenye,Sólyom Attila,46.571944,17.609444
Szabatonpuszta,468,Tolna,"46,33,18-18,32,33",2009,bálványfa,Elblinger Ferenc,46.555,18.5425
Miskolc,453,Borsod-Abaúj-Zemplén,"48,06,04-20,47,03",2015,bálványfa,Szél Győző; 2026: pár éve kivágták (Pocsai Mariann),48.101111,20.784167
Budapest**,447,Pest,"47,31,22-19,02,41",2014,bálványfa,Szél Győző; 120 cm-en kétfelé ágazik,47.522778,19.044722
Pécs,411,Baranya,"46,04,38-18,13,56",2015,bálványfa,Máthé Péter,46.077222,18.232222
Budapest,365,Pest,"47,29,10-19,05,06",2023,bálványfa,Szél Győző,47.486111,19.085
Budapest,361,Pest,"47,29,31-19,03,45",2011,bálványfa,Szél Győző: 2018-ban kivágták,47.491944,19.0625
Budapest,359,Pest,"47,31,33-19,02,47",2014,bálványfa,Szél Győző; nem sok élet van benne,47.525833,19.046389
Biharnagybajom,355,Hajdú-Bihar,"47,12,45-21,13,58",2021,bálványfa,,47.2125,21.232778
Pécs,353,Baranya,"46,04,23-18,13,27",2015,bálványfa,Máthé Péter,46.073056,18.224167
Budapest,344,Pest,"47,31,30-19,03,55",2021,bálványfa,Csarnogurszky István,47.525,19.065278
Szombathely,338,Vas,"47,13,59-16,37,53",2020,bálványfa,Balogh Lajos; 130 cm-en kétfelé ágazik,47.233056,16.631389
Budapest,326,Pest,"47,31,20-18,57,17",2013,bálványfa,Szél Győző,47.522222,18.954722
Dombrád,323,Szabolcs-Szatmár-Bereg,"48,13,32-21,55,24",2017,bálványfa,magasság: 16 m/2017,48.225556,21.923333
Apátfalva,322,Csongrád,"46,10,13-20,34,29",2018,bálványfa,magasság: 16 m/2018,46.170278,20.574722
Kőszeg,313,Vas,"47,23,24-16,32,29",2022,bálványfa,2024: már nincsen meg,47.39,16.541389
Hács/Gárdonypuszta**,693,Somogy,"46,36,50-17,41,55",2020,enyves éger,"Sólyom Attila; többtörzsű, 13 törzs együtt 864 cm/2020; magasság: 31 m/2020",46.613889,17.698611
Szilvásvárad,650,Heves,"48,05,17-20,24,22",2004,enyves éger,658/2008; 2020: csak egy romos tönk van már (Elblinger Ferenc),48.088056,20.406111
Olaszfalu**,623,Veszprém,"47,13,55-17,59,03",2018,enyves éger,Alsópere közelében; 1 m magasan öt törzsre ágazik,47.231944,17.984167
Füzér**,593,Borsod-Abaúj-Zemplén,"48,35,02-21,26,16",2019,enyves éger,"Torma Zoltánné, Torma Zoltán; alacsonyan elágazó, soktörzsű; magasság: 22 m/2019",48.583889,21.437778
Mátraszentimre,577,Heves,"47,55,08-19,49,54",2018,enyves éger,"Elblinger Ferenc, Torma Zoltán; mellmagasságban háromfelé ágazik",47.918889,19.831667
Bokod,533,Komárom-Esztergom,"47,27,00-18,15,07",2013,enyves éger,Jandala Attila,47.45,18.251944
Pásztó**,516,Nógrád,"47,55,17-19,47,04",2018,enyves éger,Torma Zoltán,47.921389,19.784444
Nyíri,496,Borsod-Abaúj-Zemplén,"48,28,59-21,25,05",2018,enyves éger,"Szemán Márk, Torma Zoltán, Torma Zoltánné; 503/2024",48.483056,21.418056
Szokolya,493,Pest,"47,53,50-18,58,25",2014,enyves éger,"Szél Győző, Rozenberszki Dóra, Nagy Zoltán; két főágából egy letörött",47.897222,18.973611
Szokolya,484,Pest,"47,53,52-18,58,26",2014,enyves éger,"Szél Győző, Rozenberszki Dóra, Nagy Zoltán",47.897778,18.973889
Nyíri,473,Borsod-Abaúj-Zemplén,"48,29,01-21,24,49",2018,enyves éger,,48.483611,21.413611
Csorna,472,Győr-Moson-Sopron,"47,40,49-17,07,53",2024,enyves éger,Teket Attila; magasság: 32 m/2024,47.680278,17.131389
Csorna,471,Győr-Moson-Sopron,"47,40,54-17,07,52",2024,enyves éger,Teket Attila,47.681667,17.131111
Pilis,468,Pest,"47,16,28-19,34,05",2023,enyves éger,Lesti Szabolcs,47.274444,19.568056
Szombathely,458,Vas,"47,15,06-16,36,29",2008,enyves éger,180 cm magasan kettéágazik.,47.251667,16.608056
Szokolya,457,Pest,"47,53,51-18,58,26",2014,enyves éger,"Szél Győző, Rozenberszki Dóra, Nagy Zoltán",47.8975,18.973889
Szokolya,455,Pest,"47,53,51-18,58,00",2014,enyves éger,Szél Győző,47.8975,18.966667
Csorna,455,Győr-Moson-Sopron,"47,41,05-17,05,59",2024,enyves éger,Teket Attila,47.684722,17.099722
Csorna,453,Győr-Moson-Sopron,"47,40,53-17,07,51",2024,enyves éger,Teket Attila,47.681389,17.130833
Csorna**,450,Győr-Moson-Sopron,"47,40,49-17,07,54",2024,enyves éger,Teket Attila,47.680278,17.131667
Abaújszántó,447,Borsod-Abaúj-Zemplén,"48,16,36-21,16,03",2022,enyves éger,,48.276667,21.2675
Abaújalpár,437,Borsod-Abaúj-Zemplén,"48,17,49-21,16,51",2018,enyves éger,,48.296944,21.280833
Pásztó**,434,Nógrád,"47,55,20-19,47,01",2018,enyves éger,Torma Zoltán,47.922222,19.783611
Abaújalpár,433,Borsod-Abaúj-Zemplén,"48,17,44-21,13,49",2018,enyves éger,,48.295556,21.230278
Csorna,432,Győr-Moson-Sopron,"47,40,51-17,07,53",2024,enyves éger,Teket Attila,47.680833,17.131389
Csorna,430,Győr-Moson-Sopron,"47,40,53-17,07,58",2024,enyves éger,Teket Attila,47.681389,17.132778
Csorna,426,Győr-Moson-Sopron,"47,40,53-17,07,56",2024,enyves éger,Teket Attila,47.681389,17.132222
Csorna,426,Győr-Moson-Sopron,"47,40,54-17,07,50",2024,enyves éger,Teket Attila,47.681667,17.130556
Szombathely,423,Vas,"47,12,29-16,39,15",2018,enyves éger,Teket Attila,47.208056,16.654167
Csorna,420,Győr-Moson-Sopron,"47,40,51-17,07,48",2024,enyves éger,Teket Attila,47.680833,17.13
Csorna,419,Győr-Moson-Sopron,"47,40,48-17,07,39",2024,enyves éger,Teket Attila,47.68,17.1275
Csorna,417,Győr-Moson-Sopron,"47,40,54-17,07,45",2024,enyves éger,Teket Attila,47.681667,17.129167
Csorna,415,Győr-Moson-Sopron,"47,40,55-17,07,49",2024,enyves éger,Teket Attila,47.681944,17.130278
Abaújalpár,415,Borsod-Abaúj-Zemplén,"48,17,43-21,17,11",2018,enyves éger,,48.295278,21.286389
Nyíri**,413,Borsod-Abaúj-Zemplén,"48,29,00-21,25,12",2024,enyves éger,,48.483333,21.42
Csorna,412,Győr-Moson-Sopron,"47,40,53-17,07,58",2024,enyves éger,Teket Attila,47.681389,17.132778
Háromhuta,412,Borsod-Abaúj-Zemplén,"48,22,48-21,26,44",2018,enyves éger,"Torma Zoltánné, Torma Zoltán",48.38,21.445556
Abaújszántó,412,Borsod-Abaúj-Zemplén,"48,16,45-21,16,01",2022,enyves éger,Egy alacsonyan elágazó 300 cm-es törzzsel együtt 675 cm-es,48.279167,21.266944
Devecser,412,Veszprém,"47,06,26-17,26,24",2008,enyves éger,"130 cm magasan elágazik. 418/2010. 2014: elpusztult, nincsen meg",47.107222,17.44
Csorna,412,Győr-Moson-Sopron,"47,40,49-17,07,45",2024,enyves éger,Teket Attila,47.680278,17.129167
Csorna,411,Győr-Moson-Sopron,"47,40,52-17,07,50",2024,enyves éger,Teket Attila,47.681111,17.130556
Csorna**,409,Győr-Moson-Sopron,"47,40,51-17,07,55",2024,enyves éger,Teket Attila,47.680833,17.131944
Csorna,408,Győr-Moson-Sopron,"47,40,55-17,07,45",2024,enyves éger,Teket Attila,47.681944,17.129167
Csorna,406,Győr-Moson-Sopron,"47,40,52-17,07,50",2024,enyves éger,Teket Attila,47.681111,17.130556
Csorna,405,Győr-Moson-Sopron,"47,40,49-17,07,45",2024,enyves éger,Teket Attila,47.680278,17.129167
Csorna,404,Győr-Moson-Sopron,"47,40,49-17,07,39",2024,enyves éger,Teket Attila,47.680278,17.1275
Csorna,403,Győr-Moson-Sopron,"47,40,55-17,07,51",2024,enyves éger,Teket Attila,47.681944,17.130833
Csorna,403,Győr-Moson-Sopron,"47,40,54-17,07,54",2024,enyves éger,Teket Attila,47.681667,17.131667
Csorna,401,Győr-Moson-Sopron,"47,40,55-17,07,57",2024,enyves éger,Teket Attila,47.681944,17.1325
Csorna**,401,Győr-Moson-Sopron,"47,40,50-17,07,51",2024,enyves éger,Teket Attila,47.680556,17.130833
Erdőhorváti,400,Borsod-Abaúj-Zemplén,"48,19,45-21,25,08",2020,enyves éger,Torma Zoltán,48.329167,21.418889
